Year,Team,Wins,Losses,Runs,Opp Runs
2016,ARI,69,93,752,890
2016,ATL,68,93,649,779
2016,BAL,89,73,744,715
2016,BOS,93,69,878,694
2016,CHC,103,58,808,556
2016,CHW,78,84,686,715
2016,CIN,68,94,716,854
2016,CLE,94,67,777,676
2016,COL,75,87,845,860
2016,DET,86,75,750,721
2016,HOU,84,78,724,701
2016,KCR,81,81,675,712
2016,LAA,74,88,717,727
2016,LAD,91,71,725,638
2016,MIA,79,82,655,682
2016,MIL,73,89,671,733
2016,MIN,59,103,722,889
2016,NYM,87,75,671,617
2016,NYY,84,78,680,702
2016,OAK,69,93,653,761
2016,PHI,71,91,610,796
2016,PIT,78,83,729,758
2016,SDP,68,94,686,770
2016,SEA,86,76,768,707
2016,SFG,87,75,715,631
2016,STL,86,76,779,712
2016,TBR,68,94,672,713
2016,TEX,95,67,765,757
2016,TOR,89,73,759,666
2016,WSN,95,67,763,612
2015,ARI,79,83,720,713
2015,ATL,67,95,573,760
2015,BAL,81,81,713,693
2015,BOS,78,84,748,753
2015,CHC,97,65,689,608
2015,CHW,76,86,622,701
2015,CIN,64,98,640,754
2015,CLE,81,80,669,640
2015,COL,68,94,737,844
2015,DET,74,87,689,803
2015,HOU,86,76,729,618
2015,KCR,95,67,724,641
2015,LAA,85,77,661,675
2015,LAD,92,70,667,595
2015,MIA,71,91,613,678
2015,MIL,68,94,655,737
2015,MIN,83,79,696,700
2015,NYM,90,72,683,613
2015,NYY,87,75,764,698
2015,OAK,68,94,694,729
2015,PHI,63,99,626,809
2015,PIT,98,64,697,596
2015,SDP,74,88,650,731
2015,SEA,76,86,656,726
2015,SFG,84,78,696,627
2015,STL,100,62,647,525
2015,TBR,80,82,644,642
2015,TEX,88,74,751,733
2015,TOR,93,69,891,670
2015,WSN,83,79,703,635
2014,ARI,64,98,615,742
2014,ATL,79,83,573,597
2014,BAL,96,66,705,593
2014,BOS,71,91,634,715
2014,CHC,73,89,614,707
2014,CHW,73,89,660,758
2014,CIN,76,86,595,612
2014,CLE,85,77,669,653
2014,COL,66,96,755,818
2014,DET,90,72,757,705
2014,HOU,70,92,629,723
2014,KCR,89,73,651,624
2014,LAA,98,64,773,630
2014,LAD,94,68,718,617
2014,MIA,77,85,645,674
2014,MIL,82,80,650,657
2014,MIN,70,92,715,777
2014,NYM,79,83,629,618
2014,NYY,84,78,633,664
2014,OAK,88,74,729,572
2014,PHI,73,89,619,687
2014,PIT,88,74,682,631
2014,SDP,77,85,535,577
2014,SEA,87,75,634,554
2014,SFG,88,74,665,614
2014,STL,90,72,619,603
2014,TBR,77,85,612,625
2014,TEX,67,95,637,773
2014,TOR,83,79,723,686
2014,WSN,96,66,686,555
2013,ARI,81,81,685,695
2013,ATL,96,66,688,548
2013,BAL,85,77,745,709
2013,BOS,97,65,853,656
2013,CHC,66,96,602,689
2013,CHW,63,99,598,723
2013,CIN,90,72,698,589
2013,CLE,92,70,745,662
2013,COL,74,88,706,760
2013,DET,93,69,796,624
2013,HOU,51,111,610,848
2013,KCR,86,76,648,601
2013,LAA,78,84,733,737
2013,LAD,92,70,649,582
2013,MIA,62,100,513,646
2013,MIL,74,88,640,687
2013,MIN,66,96,614,788
2013,NYM,74,88,619,684
2013,NYY,85,77,650,671
2013,OAK,96,66,767,625
2013,PHI,73,89,610,749
2013,PIT,94,68,634,577
2013,SDP,76,86,618,700
2013,SEA,71,91,624,754
2013,SFG,76,86,629,691
2013,STL,97,65,783,596
2013,TBR,92,71,700,646
2013,TEX,91,72,730,636
2013,TOR,74,88,712,756
2013,WSN,86,76,656,626
2012,ARI,81,81,734,688
2012,ATL,94,68,700,600
2012,BAL,93,69,712,705
2012,BOS,69,93,734,806
2012,CHC,61,101,613,759
2012,CHW,85,77,748,676
2012,CIN,97,65,669,588
2012,CLE,68,94,667,845
2012,COL,64,98,758,890
2012,DET,88,74,726,670
2012,HOU,55,107,583,794
2012,KCR,72,90,676,746
2012,LAA,89,73,767,699
2012,LAD,86,76,637,597
2012,MIA,69,93,609,724
2012,MIL,83,79,776,733
2012,MIN,66,96,701,832
2012,NYM,74,88,650,709
2012,NYY,95,67,804,668
2012,OAK,94,68,713,614
2012,PHI,81,81,684,680
2012,PIT,79,83,651,674
2012,SDP,76,86,651,710
2012,SEA,75,87,619,651
2012,SFG,94,68,718,649
2012,STL,88,74,765,648
2012,TBR,90,72,697,577
2012,TEX,93,69,808,707
2012,TOR,73,89,716,784
2012,WSN,98,64,731,594
2011,ARI,94,68,731,662
2011,ATL,89,73,641,605
2011,BAL,69,93,708,860
2011,BOS,90,72,875,737
2011,CHC,71,91,654,756
2011,CHW,79,83,654,706
2011,CIN,79,83,735,720
2011,CLE,80,82,704,760
2011,COL,73,89,735,774
2011,DET,95,67,787,711
2011,FLA,72,90,625,702
2011,HOU,56,106,615,796
2011,KCR,71,91,730,762
2011,LAA,86,76,667,633
2011,LAD,82,79,644,612
2011,MIL,96,66,721,638
2011,MIN,63,99,619,804
2011,NYM,77,85,718,742
2011,NYY,97,65,867,657
2011,OAK,74,88,645,679
2011,PHI,102,60,713,529
2011,PIT,72,90,610,712
2011,SDP,71,91,593,611
2011,SEA,67,95,556,675
2011,SFG,86,76,570,578
2011,STL,90,72,762,692
2011,TBR,91,71,707,614
2011,TEX,96,66,855,677
2011,TOR,81,81,743,761
2011,WSN,80,81,624,643
2010,ARI,65,97,713,836
2010,ATL,91,71,738,629
2010,BAL,66,96,613,785
2010,BOS,89,73,818,744
2010,CHC,75,87,685,767
2010,CHW,88,74,752,704
2010,CIN,91,71,790,685
2010,CLE,69,93,646,752
2010,COL,83,79,770,717
2010,DET,81,81,751,743
2010,FLA,80,82,719,717
2010,HOU,76,86,611,729
2010,KCR,67,95,676,845
2010,LAA,80,82,681,702
2010,LAD,80,82,667,692
2010,MIL,77,85,750,804
2010,MIN,94,68,781,671
2010,NYM,79,83,656,652
2010,NYY,95,67,859,693
2010,OAK,81,81,663,626
2010,PHI,97,65,772,640
2010,PIT,57,105,587,866
2010,SDP,90,72,665,581
2010,SEA,61,101,513,698
2010,SFG,92,70,697,583
2010,STL,86,76,736,641
2010,TBR,96,66,802,649
2010,TEX,90,72,787,687
2010,TOR,85,77,755,728
2010,WSN,69,93,655,742
2009,ARI,70,92,720,782
2009,ATL,86,76,735,641
2009,BAL,64,98,741,876
2009,BOS,95,67,872,736
2009,CHC,83,78,707,672
2009,CHW,79,83,724,732
2009,CIN,78,84,673,723
2009,CLE,65,97,773,865
2009,COL,92,70,804,715
2009,DET,86,77,743,745
2009,FLA,87,75,772,766
2009,HOU,74,88,643,770
2009,KCR,65,97,686,842
2009,LAA,97,65,883,761
2009,LAD,95,67,780,611
2009,MIL,80,82,785,818
2009,MIN,87,76,817,765
2009,NYM,70,92,671,757
2009,NYY,103,59,915,753
2009,OAK,75,87,759,761
2009,PHI,93,69,820,709
2009,PIT,62,99,636,768
2009,SDP,75,87,638,769
2009,SEA,85,77,640,692
2009,SFG,88,74,657,611
2009,STL,91,71,730,640
2009,TBR,84,78,803,754
2009,TEX,87,75,784,740
2009,TOR,75,87,798,771
2009,WSN,59,103,710,874
2008,ARI,82,80,720,706
2008,ATL,72,90,753,778
2008,BAL,68,93,782,869
2008,BOS,95,67,845,694
2008,CHC,97,64,855,671
2008,CHW,89,74,811,729
2008,CIN,74,88,704,800
2008,CLE,81,81,805,761
2008,COL,74,88,747,822
2008,DET,74,88,821,857
2008,FLA,84,77,770,767
2008,HOU,86,75,712,743
2008,KCR,75,87,691,781
2008,LAA,100,62,765,697
2008,LAD,84,78,700,648
2008,MIL,90,72,750,689
2008,MIN,88,75,829,745
2008,NYM,89,73,799,715
2008,NYY,89,73,789,727
2008,OAK,75,86,646,690
2008,PHI,92,70,799,680
2008,PIT,67,95,735,884
2008,SDP,63,99,637,764
2008,SEA,61,101,671,811
2008,SFG,72,90,640,759
2008,STL,86,76,779,725
2008,TBR,97,65,774,671
2008,TEX,79,83,901,967
2008,TOR,86,76,714,610
2008,WSN,59,102,641,825
2007,ARI,90,72,712,732
2007,ATL,84,78,810,733
2007,BAL,69,93,756,868
2007,BOS,96,66,867,657
2007,CHC,85,77,752,690
2007,CHW,72,90,693,839
2007,CIN,72,90,783,853
2007,CLE,96,66,811,704
2007,COL,90,73,860,758
2007,DET,88,74,887,797
2007,FLA,71,91,790,891
2007,HOU,73,89,723,813
2007,KCR,69,93,706,778
2007,LAA,94,68,822,731
2007,LAD,82,80,735,727
2007,MIL,83,79,801,776
2007,MIN,79,83,718,725
2007,NYM,88,74,804,750
2007,NYY,94,68,968,777
2007,OAK,76,86,741,758
2007,PHI,89,73,892,821
2007,PIT,68,94,724,846
2007,SDP,89,74,741,666
2007,SEA,88,74,794,813
2007,SFG,71,91,683,720
2007,STL,78,84,725,829
2007,TBD,66,96,782,944
2007,TEX,75,87,816,844
2007,TOR,83,79,753,699
2007,WSN,73,89,673,783
2006,ARI,76,86,773,788
2006,ATL,79,83,849,805
2006,BAL,70,92,768,899
2006,BOS,86,76,820,825
2006,CHC,66,96,716,834
2006,CHW,90,72,868,794
2006,CIN,80,82,749,801
2006,CLE,78,84,870,782
2006,COL,76,86,813,812
2006,DET,95,67,822,675
2006,FLA,78,84,758,772
2006,HOU,82,80,735,719
2006,KCR,62,100,757,971
2006,LAA,89,73,766,732
2006,LAD,88,74,820,751
2006,MIL,75,87,730,833
2006,MIN,96,66,801,683
2006,NYM,97,65,834,731
2006,NYY,97,65,930,767
2006,OAK,93,69,771,727
2006,PHI,85,77,865,812
2006,PIT,67,95,691,797
2006,SDP,88,74,731,679
2006,SEA,78,84,756,792
2006,SFG,76,85,746,790
2006,STL,83,78,781,762
2006,TBD,61,101,689,856
2006,TEX,80,82,835,784
2006,TOR,87,75,809,754
2006,WSN,71,91,746,872
2005,ARI,77,85,696,856
2005,ATL,90,72,769,674
2005,BAL,74,88,729,800
2005,BOS,95,67,910,805
2005,CHC,79,83,703,714
2005,CHW,99,63,741,645
2005,CIN,73,89,820,889
2005,CLE,93,69,790,642
2005,COL,67,95,740,862
2005,DET,71,91,723,787
2005,FLA,83,79,717,732
2005,HOU,89,73,693,609
2005,KCR,56,106,701,935
2005,LAA,95,67,761,643
2005,LAD,71,91,685,755
2005,MIL,81,81,726,697
2005,MIN,83,79,688,662
2005,NYM,83,79,722,648
2005,NYY,95,67,886,789
2005,OAK,88,74,772,658
2005,PHI,88,74,807,726
2005,PIT,67,95,680,769
2005,SDP,82,80,684,726
2005,SEA,69,93,699,751
2005,SFG,75,87,649,745
2005,STL,100,62,805,634
2005,TBD,67,95,750,936
2005,TEX,79,83,865,858
2005,TOR,80,82,775,705
2005,WSN,81,81,639,673
