0,1,2
0.5062,0.2737,0.1028
1.3163,0.9225,0.3638
1.0932,0.668,0.3174
1.9033,1.3168,0.5784
0.8744,0.5263,0.2199
1.6845,1.1751,0.4809
1.4614,0.9206,0.4345
2.2715,1.5694,0.695
