Event,Probability
Strikeout,0.201174743
Walk,0.170337739
HBP,0.016152717
Error,0.014684288
Long Single (advance 2 bases),0.047136564
Medium Single (score from 2nd),0.07856094
Short single (advance one base),0.031424376
Short double,0.037591777
Long double,0.009397944
Triple ,0.007342144
Home run,0.042584435
Ground into Double Play,0.092431718
Normal Ground ball,0.092431718
Line drive or Infield fly,0.052572687
Long Fly,0.021235242
Medium Fly,0.053088106
Short Fly,0.031852863
