Yr,Tm,R,BB+HBP,1B,2B,3B,HR,SB,CS
2012,NYM,650,545,911,286,21,139,79,38
2012,NYY,804,627,924,280,13,245,93,27
2012,OAK,713,595,821,267,32,195,122,32
2012,PHI,684,517,957,271,28,158,116,23
2012,PIT,651,495,865,241,37,170,73,52
2012,SDP,651,593,903,272,43,121,155,46
2012,SEA,619,496,868,241,27,149,104,35
2012,SFG,718,512,1048,287,57,103,118,39
2012,STL,765,586,1040,290,37,159,91,37
2012,TBR,697,629,838,250,30,175,134,44
2012,TEX,808,535,991,303,32,200,91,44
2012,TOR,716,528,879,247,22,198,123,41
2012,WSN,731,520,948,301,25,194,105,35
2011,ARI,731,592,855,293,37,172,133,55
2011,ATL,641,532,912,244,16,173,77,44
2011,BAL,708,504,957,273,13,191,81,25
2011,BOS,875,628,1010,352,35,203,102,42
2011,CHC,654,484,954,285,36,148,69,23
2011,CHW,654,559,965,252,16,154,81,53
2011,CIN,735,598,972,264,19,183,97,50
2011,CLE,704,559,910,290,26,154,89,42
2011,COL,735,612,952,274,40,163,118,42
2011,DET,787,560,1040,297,34,169,49,20
2011,FLA,625,593,905,274,30,149,95,41
2011,HOU,615,447,1010,309,28,95,118,33
2011,KCR,730,481,1065,325,41,129,153,58
2011,LAA,667,493,916,289,34,155,135,52
2011,LAD,644,543,1013,237,28,117,126,40
2011,MIL,721,537,930,276,31,185,94,31
2011,MIN,619,477,970,259,25,103,92,39
2011,NYM,718,622,1021,309,39,108,130,35
2011,NYY,867,701,930,267,33,222,147,46
2011,OAK,645,559,907,280,29,114,117,43
2011,PHI,713,595,960,258,38,153,96,24
2011,PIT,610,523,906,277,35,107,108,52
2011,SDP,593,549,904,247,42,91,170,44
2011,SEA,556,472,879,253,22,109,125,40
2011,SFG,570,500,900,282,24,121,85,51
2011,STL,762,586,1021,308,22,162,57,39
2011,TBR,707,644,842,273,37,172,155,62
2011,TEX,855,514,1047,310,32,210,143,45
2011,TOR,743,573,879,285,34,186,131,52
2011,WSN,624,535,886,257,22,154,106,38
2010,ARI,713,628,851,301,34,180,86,41
2010,ATL,738,685,935,312,25,139,63,29
2010,BAL,613,478,1022,264,21,133,76,34
2010,BOS,818,634,920,358,22,211,68,17
2010,CHC,685,529,940,298,27,149,55,31
2010,CHW,752,546,1006,263,21,177,160,74
2010,CIN,790,590,1004,293,30,188,93,43
2010,CLE,646,609,924,290,20,128,91,33
2010,COL,770,632,955,270,54,173,99,41
2010,DET,751,587,1023,308,32,152,69,30
2010,FLA,719,569,920,294,37,152,92,26
2010,HOU,611,448,963,252,25,108,100,36
2010,KCR,676,506,1103,279,31,121,115,50
2010,LAA,681,518,913,276,19,155,104,52
2010,LAD,667,579,949,270,29,120,92,50
2010,MIL,750,627,963,293,33,182,81,26
2010,MIN,781,598,1020,318,41,142,68,28
2010,NYM,656,548,927,266,40,128,130,44
2010,NYY,859,735,977,275,32,201,103,30
2010,OAK,663,574,981,276,30,109,156,38
2010,PHI,772,623,961,290,34,166,108,21
2010,PIT,587,496,874,276,27,126,87,36
2010,SDP,665,588,946,236,24,132,124,50
2010,SEA,513,498,930,227,16,101,142,39
2010,SFG,697,537,935,284,30,162,55,32
2010,STL,736,591,1003,285,18,150,79,41
2010,TBR,802,729,851,295,37,160,172,47
2010,TEX,787,556,1101,268,25,162,123,48
2010,TOR,755,526,767,319,21,257,58,20
2010,WSN,655,563,925,250,31,149,110,41
